mean_delta_times,mean_hours,mean_distances,mean_velocities,mean_accelerations,mean_headings,mean_heading_changes,mean_heading_change_rates,mean_stops,mean_turnings,label
0.9743554987878946,0.8260869565217391,0.9973425163524914,0.9673229067068361,0.5964351402464662,0.6040680683257386,0.6391661593949808,0.5669068042794798,0.9204565541274211,0.6811479933769611,0
0.9747753369131715,0.8260869565217391,0.9984285865614324,0.9815456946735394,0.5946016785786602,0.568125011723686,0.5904957054902372,0.48197824511070986,0.5530668417464207,0.35819601040763216,0
0.9935158877042984,0.9565217391304348,0.9991713393080213,0.9745422753915157,0.5952332101664782,0.7481592150485121,0.6743178036831807,0.5686579437374997,0.16080402010050254,0.6286630397645141,0
0.9935158877042984,0.9565217391304348,0.9992300249139434,0.9763451870156705,0.5920292494288018,0.7622126231541103,0.6526075876287885,0.5601183393169901,0.14512259791419424,0.645089227049331,0
0.9935158877042984,0.9565217391304348,0.9998839720054464,0.9964354424424701,0.5947977434312016,0.7434656756018888,0.6661104481529267,0.5654296216705403,0.006666498320749496,0.48314016137086385,0
0.9998362680186639,0.5217391304347826,0.9995090545392995,0.9703394792758601,0.593517982474972,0.6826136114798486,0.6714805364146638,0.5635610802960258,0.015176384434736468,0.8475649819968987,0
0.9954809973151214,0.5217391304347826,0.9994987281344873,0.9711045798838933,0.5904626366026667,0.6694355051203149,0.6655305018781758,0.5594479605151402,0.030327516981894433,0.8160267024100499,0
0.981916169225556,0.49879833952370556,0.9986554756462198,0.9709033305064052,0.5935503907765994,0.61182434182537,0.6699290504410707,0.5556282308267141,0.060301507537688384,0.8326368629924571,0
1.0,0.4782608695652174,0.9995186053622769,0.9704216400421025,0.5928168867587632,0.6609413162934206,0.6687693936387914,0.5619746078902429,0.026489230069947686,0.8581040237588373,0
1.0,0.4782608695652174,0.9996180759413377,0.9765334168716013,0.5933980797117661,0.6133293473403336,0.6635351982307527,0.5578569189522505,0.0039140425746823655,0.910089621277826,0
0.9951124781690692,0.4782608695652174,0.9991786822585864,0.9701984568506884,0.5967189302755374,0.6816885623262942,0.6677448981247299,0.5701018103883658,0.02512562814070354,0.9058582354332572,0
0.9983382425774835,0.4782608695652174,0.9995185013322149,0.9746564012330405,0.5882560896716555,0.6198626489229031,0.6637037657713671,0.5604855496260667,0.02512562814070354,0.8587873531498856,0
1.0,0.4782608695652174,0.9995623142511599,0.9731072479559199,0.5950080411625288,0.4861669364160035,0.659489716185958,0.5546743788737668,-0.0,0.8744776472443428,0
0.9998044991267627,0.4369674459252786,0.9995227159508857,0.9711303606985939,0.5919541256136496,0.36937081352849244,0.6648152324875548,0.5590288330498414,0.005025125628140708,0.8535572551184,0
